Territory,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGBT people allowed to serve openly in military?,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Russia,Yes,No,No,No,Yes,No,No
Kazakhstan,Yes,No,No,No,Yes,No,Yes
Kyrgyzstan,Yes,No,No,No,Unknown,No,Yes
Tajikistan,Yes,No,No,No,Unknown,No,Yes
Turkmenistan,No,No,No,No,No,No,No
Uzbekistan,No,No,No,No,No,No,No
Abkhazia,Yes,No,No,No,Unknown,No,Unknown
Akrotiri and Dhekelia,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown
Armenia,Yes,No,No,No,No,No,No
Azerbaijan,Yes,No,No,No,No,No,No
Bahrain,Yes,No,No,No,No,No,Yes
Cyprus,Yes,Yes,No,No,Yes,Yes,Yes
Egypt,Yes,No,No,No,No,No,No
Georgia,Yes,No,No,No,Unknown,Yes,Yes
Iran,No,No,No,No,No,No,Yes
Iraq,No,No,No,No,No,No,No
Israel,Yes,Yes,No,Yes,Yes,Yes,Yes
Jordan,Yes,No,No,No,Unknown,No,Yes
Kuwait,No,No,No,No,No,No,No
Lebanon,Yes,No,No,No,No,No,Yes
Northern Cyprus,Yes,No,No,No,No,Yes,Yes
Oman,No,No,No,No,No,No,No
Palestine,Yes,No,No,No,Unknown,No,No
Qatar,No,No,No,No,No,No,No
Saudi Arabia,No,No,No,No,No,No,No
South Ossetia,Yes,No,No,No,Unknown,No,Unknown
Syria,Unknown,No,No,Unknown,Unknown,Unknown,Unknown
Turkey,Yes,No,No,No,No,No,Yes
United Arab Emirates,No,No,No,No,No,No,No
Yemen,No,No,No,No,No,No,No
Afghanistan,No,No,No,No,No,No,No
Bangladesh,No,No,No,No,No,No,Yes
Bhutan,Yes,No,No,No,No,Yes,Yes
British Indian Ocean Territory,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown
India,Yes,Yes,No,No,No,Yes,Yes
Maldives,No,No,No,No,No,No,No
Nepal,Yes,No,No,No,Yes,Yes,No
Pakistan,No,No,No,No,No,Yes,Yes
Sri Lanka,No,No,No,No,No,Yes,Yes
China,Yes,No,No,No,Yes,Yes,Yes
Hong Kong,Yes,No,No,Yes,Unknown,Yes,Yes
Japan,Yes,No,No,No,Yes,No,Yes
Macau,Yes,No,No,No,Unknown,Yes,Unknown
Mongolia,Yes,No,No,No,Yes,Yes,Yes
North Korea,Yes,No,No,No,Yes,No,No
South Korea,Yes,No,No,No,No,Yes,Yes
Taiwan,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Aceh,No,No,No,No,No,Yes,Yes
Brunei,No,No,No,No,No,No,No
Cambodia,Yes,No,No,No,Unknown,No,No
Indonesia,Yes,No,No,No,No,Yes,Yes
Laos,Yes,No,No,No,Unknown,No,Unknown
Malaysia,No,No,No,No,No,No,No
Myanmar,No,No,No,No,No,No,No
Philippines,Yes,No,No,No,Yes,Yes,No
Singapore,Yes,No,No,Unknown,Yes,Yes,Yes
Thailand,Yes,Yes,Yes,Yes,Yes,Yes,No
Timor-Leste,Yes,No,No,Yes,Unknown,Yes,Unknown
Vietnam,Yes,No,No,No,Yes,Yes,Yes
Austria,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Czech Republic,Yes,Yes,No,Yes,Yes,Yes,Yes
Germany,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hungary,Yes,Yes,No,No,Yes,Yes,Yes
Liechtenstein,Yes,Yes,Yes,Yes,Unknown,Yes,No
Poland,Yes,No,No,No,Yes,Yes,Yes
Slovakia,Yes,No,No,No,Yes,Yes,Yes
Slovenia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Switzerland,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Abkhazia,Yes,No,No,No,Unknown,No,Unknown
Armenia,Yes,No,No,No,No,No,No
Azerbaijan,Yes,No,No,No,No,No,No
Belarus,Yes,No,No,No,No,No,Yes
Georgia,Yes,No,No,No,Unknown,Yes,Yes
Kazakhstan,Yes,No,No,No,Yes,No,Yes
Moldova,Yes,No,No,No,Yes,Yes,Yes
Russia,Yes,No,No,No,Yes,No,No
South Ossetia,Yes,No,No,No,Unknown,No,Unknown
Transnistria,Yes,No,No,No,Unknown,No,Unknown
Ukraine,Yes,No,No,No,Yes,Yes,Yes
Denmark,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Estonia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Faroe Islands,Yes,Yes,Yes,Yes,Yes,Yes,No
Finland,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Iceland,Yes,Yes,Yes,Yes,Unknown,Yes,Yes
Latvia,Yes,Yes,No,No,Yes,Yes,Yes
Lithuania,Yes,Yes,No,Yes,Yes,Yes,Yes
Norway,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sweden,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Akrotiri and Dhekelia,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown
Albania,Yes,No,No,No,Yes,Yes,No
Andorra,Yes,Yes,Yes,Yes,Unknown,Yes,Yes
Bosnia and Herzegovina,Yes,No,No,No,Yes,Yes,Yes
Bulgaria,Yes,No,No,No,Yes,Yes,Yes
Croatia,Yes,Yes,No,Yes,Yes,Yes,Yes
Cyprus,Yes,Yes,No,No,Yes,Yes,Yes
Gibraltar,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Greece,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Italy,Yes,Yes,No,Yes,Yes,Yes,Yes
Kosovo,Yes,No,No,No,Yes,Yes,Yes
Malta,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Montenegro,Yes,Yes,No,No,Yes,Yes,Yes
North Macedonia,Yes,No,No,No,Yes,Yes,Yes
Northern Cyprus,Yes,No,No,No,No,Yes,Yes
Portugal,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Romania,Yes,No,No,No,Yes,Yes,Yes
San Marino,Yes,Yes,No,Yes,Unknown,Yes,No
